000000000000000000000000000000000000000000000000000000000001	0	1	1	0	0
000000000000000000000000000000000000000000000000000000010000	1	1	1	0	1
000000000000000000000000000000000000000000000000000100000000	2	1	1	0	2
000000000000000000000000000000000000000000000001000000000000	3	1	1	0	3
000000000000000000000000000000000000000000010000000000000000	4	1	1	0	4
000000000000000000000000000000000000000100000000000000000000	5	1	1	0	5
000000000000000000000000000000000001000000000000000000000000	6	1	1	0	6
000000000000000000000000000000010000000000000000000000000000	7	1	1	0	7
000000000000000000000000000100000000000000000000000000000000	8	1	1	0	8
000000000000000000000001000000000000000000000000000000000000	9	1	1	0	9
000000000000000000010000000000000000000000000000000000000000	10	1	1	0	10
000000000000000100000000000000000000000000000000000000000000	11	1	1	0	11
000000000001000000000000000000000000000000000000000000000000	12	1	1	0	12
000000010000000000000000000000000000000000000000000000000000	13	1	1	0	13
000100000000000000000000000000000000000000000000000000000000	14	1	1	0	14
000000000000000000000000000000000000000000010001000100010001	0	1	5	1	0
000000000000000000000000000000000000000100010001000100010000	1	1	5	1	1
000000000000000000000000000000000001000100010001000100000000	2	1	5	1	2
000000000000000000000000000000010001000100010001000000000000	3	1	5	1	3
000000000000000000000000000100010001000100010000000000000000	4	1	5	1	4
000000000000000000000001000100010001000100000000000000000000	5	1	5	1	5
000000000000000000010001000100010001000000000000000000000000	6	1	5	1	6
000000000000000100010001000100010000000000000000000000000000	7	1	5	1	7
000000000000000000000000000000000000000100010001000100010001	0	1	6	2	0
000000000000000000000000000000000001000100010001000100010000	1	1	6	2	1
000000000000000000000000000000010001000100010001000100000000	2	1	6	2	2
000000000000000000000000000100010001000100010001000000000000	3	1	6	2	3
000000000000000000000001000100010001000100010000000000000000	4	1	6	2	4
000000000000000000010001000100010001000100000000000000000000	5	1	6	2	5
000000000000000100010001000100010001000000000000000000000000	6	1	6	2	6
000000000000000000000000000000000001000100010001000100010001	0	1	7	3	0
000000000000000000000000000000010001000100010001000100010000	1	1	7	3	1
000000000000000000000000000100010001000100010001000100000000	2	1	7	3	2
000000000000000000000001000100010001000100010001000000000000	3	1	7	3	3
000000000000000000010001000100010001000100010000000000000000	4	1	7	3	4
000000000000000100010001000100010001000100000000000000000000	5	1	7	3	5
000000000000000000000000000000010001000100010001000100010001	0	1	8	4	0
000000000000000000000000000100010001000100010001000100010000	1	1	8	4	1
000000000000000000000001000100010001000100010001000100000000	2	1	8	4	2
000000000000000000010001000100010001000100010001000000000000	3	1	8	4	3
000000000000000100010001000100010001000100010000000000000000	4	1	8	4	4
000000000000000000000000000100010001000100010001000100010001	0	1	9	5	0
000000000000000000000001000100010001000100010001000100010000	1	1	9	5	1
000000000000000000010001000100010001000100010001000100000000	2	1	9	5	2
000000000000000100010001000100010001000100010001000000000000	3	1	9	5	3
000000000000000000000001000100010001000100010001000100010001	0	1	10	6	0
000000000000000000010001000100010001000100010001000100010000	1	1	10	6	1
000000000000000100010001000100010001000100010001000100000000	2	1	10	6	2
000000000000000000010001000100010001000100010001000100010001	0	1	11	7	0
000000000000000100010001000100010001000100010001000100010000	1	1	11	7	1
000000000000000100010001000100010001000100010001000100010001	0	1	12	8	0
000000000000000000000000000000000000000000000000000000000011	0	2	2	9	0
000000000000000000000000000000000000000000000000000000110000	1	2	2	9	1
000000000000000000000000000000000000000000000000001100000000	2	2	2	9	2
000000000000000000000000000000000000000000000011000000000000	3	2	2	9	3
000000000000000000000000000000000000000000110000000000000000	4	2	2	9	4
000000000000000000000000000000000000001100000000000000000000	5	2	2	9	5
000000000000000000000000000000000011000000000000000000000000	6	2	2	9	6
000000000000000000000000000000110000000000000000000000000000	7	2	2	9	7
000000000000000000000000001100000000000000000000000000000000	8	2	2	9	8
000000000000000000000011000000000000000000000000000000000000	9	2	2	9	9
000000000000000000110000000000000000000000000000000000000000	10	2	2	9	10
000000000000001100000000000000000000000000000000000000000000	11	2	2	9	11
000000000011000000000000000000000000000000000000000000000000	12	2	2	9	12
000000000000000000000000000000000000000000000000001100110011	0	2	6	10	0
000000000000000000000000000000000000000000000011001100110000	1	2	6	10	1
000000000000000000000000000000000000000000110011001100000000	2	2	6	10	2
000000000000000000000000000000000000001100110011000000000000	3	2	6	10	3
000000000000000000000000000000000011001100110000000000000000	4	2	6	10	4
000000000000000000000000000000110011001100000000000000000000	5	2	6	10	5
000000000000000000000000001100110011000000000000000000000000	6	2	6	10	6
000000000000000000000011001100110000000000000000000000000000	7	2	6	10	7
000000000000000000110011001100000000000000000000000000000000	8	2	6	10	8
000000000000001100110011000000000000000000000000000000000000	9	2	6	10	9
000000000000000000000000000000000000000000000011001100110011	0	2	8	11	0
000000000000000000000000000000000000000000110011001100110000	1	2	8	11	1
000000000000000000000000000000000000001100110011001100000000	2	2	8	11	2
000000000000000000000000000000000011001100110011000000000000	3	2	8	11	3
000000000000000000000000000000110011001100110000000000000000	4	2	8	11	4
000000000000000000000000001100110011001100000000000000000000	5	2	8	11	5
000000000000000000000011001100110011000000000000000000000000	6	2	8	11	6
000000000000000000110011001100110000000000000000000000000000	7	2	8	11	7
000000000000001100110011001100000000000000000000000000000000	8	2	8	11	8
000000000000000000000000000000000000000000110011001100110011	0	2	10	12	0
000000000000000000000000000000000000001100110011001100110000	1	2	10	12	1
000000000000000000000000000000000011001100110011001100000000	2	2	10	12	2
000000000000000000000000000000110011001100110011000000000000	3	2	10	12	3
000000000000000000000000001100110011001100110000000000000000	4	2	10	12	4
000000000000000000000011001100110011001100000000000000000000	5	2	10	12	5
000000000000000000110011001100110011000000000000000000000000	6	2	10	12	6
000000000000001100110011001100110000000000000000000000000000	7	2	10	12	7
000000000000000000000000000000000000001100110011001100110011	0	2	12	13	0
000000000000000000000000000000000011001100110011001100110000	1	2	12	13	1
000000000000000000000000000000110011001100110011001100000000	2	2	12	13	2
000000000000000000000000001100110011001100110011000000000000	3	2	12	13	3
000000000000000000000011001100110011001100110000000000000000	4	2	12	13	4
000000000000000000110011001100110011001100000000000000000000	5	2	12	13	5
000000000000001100110011001100110011000000000000000000000000	6	2	12	13	6
000000000000000000000000000000000011001100110011001100110011	0	2	14	14	0
000000000000000000000000000000110011001100110011001100110000	1	2	14	14	1
000000000000000000000000001100110011001100110011001100000000	2	2	14	14	2
000000000000000000000011001100110011001100110011000000000000	3	2	14	14	3
000000000000000000110011001100110011001100110000000000000000	4	2	14	14	4
000000000000001100110011001100110011001100000000000000000000	5	2	14	14	5
000000000000000000000000000000110011001100110011001100110011	0	2	16	15	0
000000000000000000000000001100110011001100110011001100110000	1	2	16	15	1
000000000000000000000011001100110011001100110011001100000000	2	2	16	15	2
000000000000000000110011001100110011001100110011000000000000	3	2	16	15	3
000000000000001100110011001100110011001100110000000000000000	4	2	16	15	4
000000000000000000000000001100110011001100110011001100110011	0	2	18	16	0
000000000000000000000011001100110011001100110011001100110000	1	2	18	16	1
000000000000000000110011001100110011001100110011001100000000	2	2	18	16	2
000000000000001100110011001100110011001100110011000000000000	3	2	18	16	3
000000000000000000000011001100110011001100110011001100110011	0	2	20	17	0
000000000000000000110011001100110011001100110011001100110000	1	2	20	17	1
000000000000001100110011001100110011001100110011001100000000	2	2	20	17	2
000000000000000000000000000000000000000000000000000000000111	0	3	3	18	0
000000000000000000000000000000000000000000000000000001110000	1	3	3	18	1
000000000000000000000000000000000000000000000000011100000000	2	3	3	18	2
000000000000000000000000000000000000000000000111000000000000	3	3	3	18	3
000000000000000000000000000000000000000001110000000000000000	4	3	3	18	4
000000000000000000000000000000000000011100000000000000000000	5	3	3	18	5
000000000000000000000000000000000111000000000000000000000000	6	3	3	18	6
000000000000000000000000000001110000000000000000000000000000	7	3	3	18	7
000000000000000000000000011100000000000000000000000000000000	8	3	3	18	8
000000000000000000000111000000000000000000000000000000000000	9	3	3	18	9
000000000000000001110000000000000000000000000000000000000000	10	3	3	18	10
000000000000011100000000000000000000000000000000000000000000	11	3	3	18	11
000000000111000000000000000000000000000000000000000000000000	12	3	3	18	12
000000000000000000000000000000000000000000000000000001110111	0	3	6	19	0
000000000000000000000000000000000000000000000000011101110000	1	3	6	19	1
000000000000000000000000000000000000000000000111011100000000	2	3	6	19	2
000000000000000000000000000000000000000001110111000000000000	3	3	6	19	3
000000000000000000000000000000000000011101110000000000000000	4	3	6	19	4
000000000000000000000000000000000111011100000000000000000000	5	3	6	19	5
000000000000000000000000000001110111000000000000000000000000	6	3	6	19	6
000000000000000000000000011101110000000000000000000000000000	7	3	6	19	7
000000000000000000000111011100000000000000000000000000000000	8	3	6	19	8
000000000000000001110111000000000000000000000000000000000000	9	3	6	19	9
000000000000011101110000000000000000000000000000000000000000	10	3	6	19	10
000000000000000000000000000000000000000000000000011101110111	0	3	9	20	0
000000000000000000000000000000000000000000000111011101110000	1	3	9	20	1
000000000000000000000000000000000000000001110111011100000000	2	3	9	20	2
000000000000000000000000000000000000011101110111000000000000	3	3	9	20	3
000000000000000000000000000000000111011101110000000000000000	4	3	9	20	4
000000000000000000000000000001110111011100000000000000000000	5	3	9	20	5
000000000000000000000000011101110111000000000000000000000000	6	3	9	20	6
000000000000000000000111011101110000000000000000000000000000	7	3	9	20	7
000000000000000001110111011100000000000000000000000000000000	8	3	9	20	8
000000000000011101110111000000000000000000000000000000000000	9	3	9	20	9
000000000000000000000000000000000000000000000111011101110111	0	3	12	21	0
000000000000000000000000000000000000000001110111011101110000	1	3	12	21	1
000000000000000000000000000000000000011101110111011100000000	2	3	12	21	2
000000000000000000000000000000000111011101110111000000000000	3	3	12	21	3
000000000000000000000000000001110111011101110000000000000000	4	3	12	21	4
000000000000000000000000011101110111011100000000000000000000	5	3	12	21	5
000000000000000000000111011101110111000000000000000000000000	6	3	12	21	6
000000000000000001110111011101110000000000000000000000000000	7	3	12	21	7
000000000000011101110111011100000000000000000000000000000000	8	3	12	21	8
000000000000000000000000000000000000000001110111011101110111	0	3	15	22	0
000000000000000000000000000000000000011101110111011101110000	1	3	15	22	1
000000000000000000000000000000000111011101110111011100000000	2	3	15	22	2
000000000000000000000000000001110111011101110111000000000000	3	3	15	22	3
000000000000000000000000011101110111011101110000000000000000	4	3	15	22	4
000000000000000000000111011101110111011100000000000000000000	5	3	15	22	5
000000000000000001110111011101110111000000000000000000000000	6	3	15	22	6
000000000000011101110111011101110000000000000000000000000000	7	3	15	22	7
000000000000000000000000000000000000011101110111011101110111	0	3	18	23	0
000000000000000000000000000000000111011101110111011101110000	1	3	18	23	1
000000000000000000000000000001110111011101110111011100000000	2	3	18	23	2
000000000000000000000000011101110111011101110111000000000000	3	3	18	23	3
000000000000000000000111011101110111011101110000000000000000	4	3	18	23	4
